service_id,date,exception_type
498,20210630,2
498,20210618,2
498,20210619,2
498,20210614,2
498,20210615,2
498,20210616,2
498,20210617,2
498,20210610,2
498,20210611,2
498,20210612,2
498,20210613,2
498,20210623,2
498,20210608,2
498,20210603,2
498,20210602,2
498,20210625,2
498,20210624,2
498,20210627,2
498,20210626,2
498,20210621,2
498,20210620,2
498,20210609,2
498,20210622,2
498,20210607,2
498,20210606,2
498,20210605,2
498,20210604,2
498,20210629,2
498,20210628,2
494,20210606,2
494,20210627,2
494,20210620,2
494,20210613,2
496,20210630,2
496,20210618,2
496,20210619,2
496,20210614,2
496,20210615,2
496,20210616,2
496,20210617,2
496,20210610,2
496,20210611,2
496,20210612,2
496,20210613,2
496,20210623,2
496,20210608,2
496,20210603,2
496,20210602,2
496,20210625,2
496,20210624,2
496,20210627,2
496,20210626,2
496,20210621,2
496,20210620,2
496,20210609,2
496,20210622,2
496,20210607,2
496,20210606,2
496,20210605,2
496,20210604,2
496,20210629,2
496,20210628,2
491,20210605,2
491,20210626,2
491,20210619,2
491,20210612,2
492,20210630,2
492,20210618,2
492,20210619,2
492,20210614,2
492,20210615,2
492,20210616,2
492,20210617,2
492,20210610,2
492,20210611,2
492,20210612,2
492,20210623,2
492,20210622,2
492,20210603,2
492,20210602,2
492,20210625,2
492,20210624,2
492,20210626,2
492,20210621,2
492,20210609,2
492,20210608,2
492,20210607,2
492,20210605,2
492,20210604,2
492,20210629,2
492,20210628,2
540,20210627,2
540,20210626,2
540,20210620,2
540,20210606,2
540,20210605,2
540,20210613,2
540,20210612,2
540,20210619,2
541,20210630,2
541,20210619,2
541,20210614,2
541,20210615,2
541,20210616,2
541,20210617,2
541,20210610,2
541,20210612,2
541,20210613,2
541,20210623,2
541,20210622,2
541,20210603,2
541,20210602,2
541,20210624,2
541,20210627,2
541,20210626,2
541,20210621,2
541,20210620,2
541,20210609,2
541,20210608,2
541,20210607,2
541,20210606,2
541,20210605,2
541,20210629,2
541,20210628,2
537,20210629,2
537,20210622,2
537,20210624,2
537,20210608,2
537,20210615,2
537,20210617,2
537,20210603,2
537,20210610,2
371,20210602,2
371,20210604,2
371,20210621,2
371,20210609,2
371,20210629,2
371,20210603,2
371,20210608,2
371,20210628,2
371,20210625,2
371,20210624,2
371,20210630,2
371,20210607,2
371,20210618,2
371,20210623,2
371,20210622,2
371,20210614,2
371,20210615,2
371,20210616,2
371,20210617,2
371,20210610,2
371,20210611,2
396,20210629,2
396,20210622,2
396,20210624,2
396,20210608,2
396,20210615,2
396,20210617,2
396,20210603,2
396,20210610,2
520,20210630,2
520,20210618,2
520,20210619,2
520,20210614,2
520,20210615,2
520,20210616,2
520,20210617,2
520,20210610,2
520,20210611,2
520,20210612,2
520,20210613,2
520,20210623,2
520,20210608,2
520,20210603,2
520,20210602,2
520,20210625,2
520,20210624,2
520,20210627,2
520,20210626,2
520,20210621,2
520,20210620,2
520,20210609,2
520,20210622,2
520,20210607,2
520,20210606,2
520,20210605,2
520,20210604,2
