trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
498,10:55:00,10:55:00,119,1,,,,,
498,11:15:00,11:16:00,34,2,,,,,
498,11:27:00,11:29:00,322,3,,,,,
498,11:38:00,11:40:00,6,4,,,,,
498,12:04:00,12:06:00,70,5,,,,,
498,12:30:00,12:32:00,114,6,,,,,
498,13:07:00,13:09:00,7,7,,,,,
498,13:31:00,13:33:00,11,8,,,,,
498,14:17:00,14:17:00,93,9,,,,,
499,17:40:00,17:40:00,119,1,,,,,
499,18:00:00,18:01:00,34,2,,,,,
499,18:12:00,18:14:00,322,3,,,,,
499,18:24:00,18:26:00,6,4,,,,,
499,18:49:00,18:51:00,70,5,,,,,
499,19:16:00,19:18:00,114,6,,,,,
499,19:53:00,19:55:00,7,7,,,,,
499,20:21:00,20:23:00,11,8,,,,,
499,21:09:00,21:14:00,93,9,,,,,
499,21:35:00,21:37:00,14,10,,,,,
499,22:03:00,22:05:00,280,11,,,,,
499,22:20:00,22:20:00,341,12,,,,,
494,07:30:00,07:30:00,93,1,,,,,
494,07:50:00,07:52:00,323,2,,,,,
494,08:03:00,08:07:00,282,3,,,,,
494,08:39:00,08:41:00,162,4,,,,,
494,09:18:00,09:21:00,600,5,,,,,
494,09:35:00,09:38:00,436,6,,,,,
494,10:04:00,10:04:00,119,7,,,,,
495,09:00:00,09:00:00,618,1,,,,,
495,09:43:00,09:46:00,601,2,,,,,
495,10:17:00,10:18:00,78,3,,,,,
495,10:51:00,10:58:00,93,4,,,,,
495,11:17:00,11:18:00,323,5,,,,,
495,11:33:00,11:36:00,282,6,,,,,
495,12:05:00,12:07:00,162,7,,,,,
495,12:37:00,12:39:00,600,8,,,,,
495,12:51:00,12:53:00,436,9,,,,,
495,13:16:00,13:16:00,119,10,,,,,
496,13:45:00,13:45:00,618,1,,,,,
496,14:27:00,14:30:00,601,2,,,,,
496,15:02:00,15:03:00,78,3,,,,,
496,15:37:00,15:43:00,93,4,,,,,
496,16:38:00,16:40:00,162,5,,,,,
496,17:09:00,17:13:00,600,6,,,,,
496,17:25:00,17:27:00,436,7,,,,,
496,17:52:00,17:52:00,119,8,,,,,
497,17:45:00,17:45:00,618,1,,,,,
497,18:29:00,18:32:00,601,2,,,,,
